Date,Price,Open,High,Low,Vol.,Change %
"Dec 12, 2011",1664.20,1707.50,1708.20,1658.50,0.89K,-2.84%
"Dec 09, 2011",1712.80,1713.30,1720.70,1705.70,0.57K,0.18%
"Dec 08, 2011",1709.80,1742.00,1752.30,1705.40,0.94K,-1.79%
"Dec 07, 2011",1740.90,1730.60,1741.90,1720.00,0.30K,0.75%
"Dec 06, 2011",1727.90,1722.10,1731.80,1703.00,0.65K,-0.16%
"Dec 05, 2011",1730.70,1748.90,1752.60,1718.70,0.76K,-0.93%
"Dec 02, 2011",1747.00,1744.80,1762.90,1741.60,1.07K,0.67%
"Dec 01, 2011",1735.30,1747.00,1753.30,1734.50,1.35K,-0.58%
"Nov 30, 2011",1745.50,1714.00,1749.20,1699.90,15.46K,1.87%
"Nov 29, 2011",1713.40,1711.30,1718.40,1704.00,64.79K,0.15%
"Nov 28, 2011",1710.80,1710.80,1710.80,1710.80,-,1.50%
"Nov 25, 2011",1685.50,1690.10,1693.50,1675.30,0.03K,-0.60%
"Nov 23, 2011",1695.70,1691.20,1700.00,1681.60,0.03K,-0.38%
"Nov 22, 2011",1702.20,1675.40,1679.80,1675.40,0.01K,1.42%
"Nov 21, 2011",1678.30,1704.60,1704.60,1674.40,0.01K,-2.69%
"Nov 18, 2011",1724.70,1725.00,1736.00,1719.00,0.01K,0.28%
"Nov 17, 2011",1719.80,1755.30,1755.30,1714.00,0.05K,-3.04%
"Nov 16, 2011",1773.80,1777.50,1777.50,1757.70,0.07K,-0.44%
"Nov 15, 2011",1781.70,1779.20,1783.10,1761.30,0.02K,0.22%
"Nov 14, 2011",1777.80,1779.00,1779.00,1779.00,0.02K,-0.54%
"Nov 11, 2011",1787.50,1777.00,1789.50,1777.00,0.03K,1.63%
"Nov 10, 2011",1758.90,1766.80,1766.80,1754.80,0.02K,-1.79%
"Nov 09, 2011",1790.90,1793.00,1793.00,1774.20,0.01K,-0.42%
"Nov 08, 2011",1798.40,1785.70,1785.70,1785.70,0.01K,0.45%
"Nov 07, 2011",1790.30,1771.50,1797.00,1768.70,0.04K,1.99%
"Nov 04, 2011",1755.30,1757.00,1761.20,1754.90,0.05K,-0.50%
"Nov 03, 2011",1764.20,1740.50,1766.00,1726.60,0.29K,2.05%
"Nov 02, 2011",1728.70,1724.30,1741.40,1723.20,0.29K,1.03%
"Nov 01, 2011",1711.00,1706.70,1720.10,1682.50,0.25K,-0.77%
"Oct 31, 2011",1724.20,1741.90,1741.90,1716.00,0.06K,-1.26%
"Oct 28, 2011",1746.20,1752.00,1752.00,1733.00,0.16K,-0.03%
"Oct 27, 2011",1746.70,1717.80,1735.50,1717.80,0.02K,1.39%
"Oct 26, 2011",1722.70,1717.00,1723.60,1708.90,0.14K,1.36%
"Oct 25, 2011",1699.60,1645.00,1706.80,1645.00,0.36K,2.91%
"Oct 24, 2011",1651.50,1646.20,1657.80,1638.80,0.31K,1.00%
"Oct 21, 2011",1635.10,1626.10,1647.40,1626.10,0.03K,1.44%
"Oct 20, 2011",1611.90,1643.20,1643.80,1608.70,0.09K,-2.07%
"Oct 19, 2011",1646.00,1659.30,1659.30,1641.00,0.02K,-0.35%
"Oct 18, 2011",1651.70,1666.00,1666.00,1627.50,0.09K,-1.42%
"Oct 17, 2011",1675.50,1683.60,1693.50,1667.30,0.04K,-0.37%
"Oct 14, 2011",1681.80,1665.80,1683.30,1665.80,0.05K,0.87%
"Oct 13, 2011",1667.30,1676.10,1678.80,1656.20,0.15K,-0.83%
"Oct 12, 2011",1681.30,1667.10,1691.00,1665.90,0.04K,1.30%
"Oct 11, 2011",1659.70,1685.00,1685.00,1657.60,0.15K,-0.59%
"Oct 10, 2011",1669.60,1645.60,1676.80,1645.60,0.06K,2.15%
"Oct 07, 2011",1634.50,1657.00,1665.00,1626.20,0.07K,-1.05%
"Oct 06, 2011",1651.90,1642.60,1654.70,1637.60,0.04K,0.71%
"Oct 05, 2011",1640.30,1629.30,1644.70,1599.60,0.11K,1.59%
"Oct 04, 2011",1614.70,1661.00,1678.10,1596.60,0.16K,-2.49%
"Oct 03, 2011",1656.00,1627.80,1660.80,1627.60,0.10K,2.20%
"Sep 30, 2011",1620.40,1620.80,1639.40,1609.40,0.28K,0.30%
"Sep 29, 2011",1615.50,1604.00,1633.80,1585.00,7.18K,-0.05%
"Sep 28, 2011",1616.30,1650.00,1650.00,1650.00,0.04K,-2.08%
"Sep 27, 2011",1650.60,1653.80,1665.40,1653.70,0.05K,3.65%
"Sep 26, 2011",1592.50,1646.40,1661.80,1562.40,0.15K,-2.75%
"Sep 23, 2011",1637.50,1737.30,1737.30,1636.30,0.08K,-5.85%
"Sep 22, 2011",1739.20,1773.20,1773.20,1730.90,0.02K,-3.67%
"Sep 21, 2011",1805.50,1808.00,1812.00,1782.80,0.02K,-0.06%
"Sep 20, 2011",1806.60,1778.80,1807.80,1776.00,0.09K,1.70%
"Sep 19, 2011",1776.40,1814.70,1818.90,1781.80,0.01K,-1.97%
"Sep 16, 2011",1812.10,1768.50,1819.10,1768.50,0.11K,1.89%
"Sep 15, 2011",1778.50,1816.30,1816.30,1775.80,0.08K,-2.47%
"Sep 14, 2011",1823.50,1843.00,1843.00,1809.00,0.16K,-0.18%
"Sep 13, 2011",1826.80,1817.80,1835.30,1808.10,0.05K,0.93%
"Sep 12, 2011",1809.90,1852.40,1852.40,1806.00,0.25K,-2.50%
"Sep 09, 2011",1856.40,1858.10,1881.30,1830.00,0.19K,0.11%
"Sep 08, 2011",1854.40,1839.30,1870.00,1835.00,0.14K,2.22%
"Sep 07, 2011",1814.20,1868.90,1873.70,1792.80,0.47K,-2.98%
"Sep 06, 2011",1869.90,1886.30,1911.60,1864.00,0.54K,-0.20%
"Sep 02, 2011",1873.70,1828.60,1884.20,1828.60,0.44K,2.61%
"Sep 01, 2011",1826.00,1825.80,1829.50,1814.10,0.26K,-0.14%
"Aug 31, 2011",1828.50,1830.60,1837.90,1811.40,0.34K,0.10%
"Aug 30, 2011",1826.70,1787.20,1839.60,1783.10,0.60K,2.14%
"Aug 29, 2011",1788.40,1817.90,1817.90,1786.70,0.04K,-0.32%
"Aug 26, 2011",1794.10,1768.50,1829.30,1768.50,0.27K,1.95%
"Aug 25, 2011",1759.80,1748.40,1772.50,1707.30,0.86K,0.32%
"Aug 24, 2011",1754.10,1833.00,1853.10,1753.10,0.99K,-5.61%
"Aug 23, 2011",1858.30,1909.00,1909.30,1824.60,0.46K,-1.61%
"Aug 22, 2011",1888.70,1868.60,1895.00,1858.40,1.11K,2.15%
"Aug 19, 2011",1848.90,1823.70,1874.40,1823.70,0.33K,1.65%
"Aug 18, 2011",1818.90,1786.50,1828.50,1785.50,0.87K,1.55%
"Aug 17, 2011",1791.20,1784.80,1794.30,1782.00,0.23K,0.49%
"Aug 16, 2011",1782.40,1769.00,1787.30,1761.60,0.28K,1.53%
"Aug 15, 2011",1755.50,1734.90,1765.20,1730.50,0.98K,0.88%
"Aug 12, 2011",1740.20,1760.60,1764.20,1723.80,1.17K,-0.49%
"Aug 11, 2011",1748.80,1795.10,1813.50,1733.00,1.50K,-1.82%
"Aug 10, 2011",1781.30,1744.00,1795.60,1741.30,0.97K,2.37%
"Aug 09, 2011",1740.00,1722.50,1779.00,1720.10,1.86K,1.74%
"Aug 08, 2011",1710.20,1679.10,1720.00,1678.10,1.89K,3.72%
"Aug 05, 2011",1648.80,1647.50,1666.10,1642.60,0.83K,-0.45%
"Aug 04, 2011",1656.20,1660.50,1681.80,1640.00,1.95K,-0.43%
"Aug 03, 2011",1663.40,1659.90,1672.30,1651.60,2.02K,1.31%
"Aug 02, 2011",1641.90,1619.30,1660.60,1616.80,2.44K,1.41%
"Aug 01, 2011",1619.00,1623.00,1631.80,1607.00,2.89K,-0.57%
"Jul 29, 2011",1628.30,1617.10,1634.90,1610.60,6.76K,0.92%
"Jul 28, 2011",1613.40,1614.20,1620.60,1602.80,70.26K,-0.10%
"Jul 27, 2011",1615.00,1619.70,1622.50,1617.00,0.02K,-0.10%
"Jul 26, 2011",1616.60,1609.80,1618.50,1609.80,0.03K,0.29%
"Jul 25, 2011",1612.00,1610.00,1619.40,1610.00,0.07K,0.67%
"Jul 22, 2011",1601.30,1588.50,1606.50,1588.50,0.01K,0.91%
"Jul 21, 2011",1586.80,1598.00,1601.60,1586.60,0.02K,-0.62%
"Jul 20, 2011",1596.70,1584.30,1596.50,1582.40,0.01K,-0.26%
"Jul 19, 2011",1600.90,1608.10,1608.80,1583.30,0.06K,-0.07%
"Jul 18, 2011",1602.10,1592.80,1605.00,1592.80,0.01K,0.77%
"Jul 15, 2011",1589.80,1582.30,1592.20,1582.30,0.01K,0.05%
"Jul 14, 2011",1589.00,1586.30,1592.80,1583.60,0.02K,0.24%
"Jul 13, 2011",1585.20,1574.00,1585.60,1570.80,0.03K,1.49%
"Jul 12, 2011",1561.90,1548.20,1565.00,1542.00,0.01K,0.85%
"Jul 11, 2011",1548.80,1550.00,1555.20,1543.10,0.01K,0.49%
"Jul 08, 2011",1541.20,1527.00,1542.60,1526.60,0.00K,0.72%
"Jul 07, 2011",1530.20,1529.10,1533.10,1522.70,0.06K,0.10%
"Jul 06, 2011",1528.70,1513.70,1532.80,1510.30,0.07K,1.08%
"Jul 05, 2011",1512.30,1490.40,1515.00,1490.30,0.20K,2.02%
"Jul 01, 2011",1482.30,1502.20,1502.20,1480.00,0.07K,-1.33%
"Jun 30, 2011",1502.30,1511.50,1514.00,1498.80,0.07K,-0.50%
"Jun 29, 2011",1509.90,1504.10,1512.20,1504.10,0.40K,0.68%
"Jun 28, 2011",1499.70,1499.90,1505.00,1496.10,0.17K,0.25%
"Jun 27, 2011",1496.00,1503.50,1503.50,1490.70,0.14K,-0.30%
"Jun 24, 2011",1500.50,1524.70,1525.00,1498.50,0.26K,-1.29%
"Jun 23, 2011",1520.10,1547.20,1547.20,1514.70,0.30K,-2.11%
"Jun 22, 2011",1552.90,1547.20,1558.50,1544.40,0.22K,0.45%
"Jun 21, 2011",1546.00,1540.10,1547.50,1540.00,0.13K,0.29%
"Jun 20, 2011",1541.50,1536.00,1545.70,1535.20,0.10K,0.19%
"Jun 17, 2011",1538.60,1523.00,1541.60,1523.00,0.07K,0.61%
"Jun 16, 2011",1529.30,1526.00,1531.20,1522.00,0.16K,0.24%
"Jun 15, 2011",1525.60,1525.00,1533.40,1515.00,0.65K,0.12%
"Jun 14, 2011",1523.80,1517.20,1526.20,1513.10,0.31K,0.58%
"Jun 13, 2011",1515.00,1528.10,1533.00,1511.30,0.85K,-0.89%
"Jun 10, 2011",1528.60,1543.70,1543.90,1526.40,0.63K,-0.88%
"Jun 09, 2011",1542.10,1536.10,1548.80,1534.40,0.29K,0.26%
"Jun 08, 2011",1538.10,1544.20,1544.20,1531.30,0.49K,-0.34%
"Jun 07, 2011",1543.30,1545.00,1549.90,1537.20,2.53K,-0.21%
"Jun 06, 2011",1546.50,1542.90,1553.90,1542.00,0.69K,0.31%
"Jun 03, 2011",1541.70,1534.70,1546.30,1525.00,1.75K,0.63%
"Jun 02, 2011",1532.00,1541.30,1544.50,1520.00,1.65K,-0.67%
"Jun 01, 2011",1542.40,1535.70,1550.60,1529.70,2.85K,0.42%
"May 31, 2011",1535.90,1536.70,1541.10,1532.40,6.15K,-0.03%
"May 27, 2011",1536.30,1519.40,1538.50,1518.40,76.72K,0.89%
"May 26, 2011",1522.80,1521.20,1521.20,1519.50,0.05K,-0.25%
"May 25, 2011",1526.60,1526.40,1527.50,1526.10,0.01K,0.22%
"May 24, 2011",1523.20,1527.10,1527.10,1521.90,0.00K,0.52%
"May 23, 2011",1515.30,1510.50,1513.00,1507.00,0.04K,0.43%
"May 20, 2011",1508.80,1499.00,1513.30,1488.70,0.09K,1.11%
"May 19, 2011",1492.20,1491.50,1491.50,1491.50,0.00K,-0.23%
"May 18, 2011",1495.60,1496.40,1497.00,1496.30,0.08K,1.07%
"May 17, 2011",1479.80,1489.80,1491.80,1473.00,0.04K,-0.71%
"May 16, 2011",1490.40,1489.30,1494.90,1489.30,0.01K,-0.20%
"May 13, 2011",1493.40,1503.50,1511.30,1490.20,0.02K,-0.88%
"May 12, 2011",1506.60,1492.10,1502.70,1484.80,0.01K,0.37%
"May 11, 2011",1501.10,1524.00,1524.10,1495.20,0.03K,-1.02%
"May 10, 2011",1516.60,1508.40,1516.90,1508.40,0.01K,0.91%
"May 09, 2011",1502.90,1501.50,1512.80,1501.30,0.04K,0.78%
"May 06, 2011",1491.20,1473.20,1494.80,1472.30,0.14K,0.70%
"May 05, 2011",1480.90,1514.70,1520.70,1471.00,0.13K,-2.24%
"May 04, 2011",1514.90,1535.00,1539.00,1506.20,0.27K,-1.64%
"May 03, 2011",1540.10,1542.50,1547.00,1527.50,0.25K,-1.07%
"May 02, 2011",1556.70,1572.90,1576.60,1543.10,0.20K,0.04%
"Apr 29, 2011",1556.00,1538.70,1568.70,1537.30,0.12K,1.65%
"Apr 28, 2011",1530.80,1528.60,1536.00,1526.60,0.43K,0.93%
"Apr 27, 2011",1516.70,1507.10,1512.80,1505.20,0.21K,0.91%
"Apr 26, 2011",1503.00,1501.50,1506.30,1495.00,0.22K,-0.37%
"Apr 25, 2011",1508.60,1513.30,1518.00,1502.80,0.23K,0.36%
"Apr 21, 2011",1503.20,1503.70,1508.30,1501.70,0.24K,0.33%
"Apr 20, 2011",1498.30,1494.00,1505.30,1494.00,0.39K,0.25%
"Apr 19, 2011",1494.50,1493.30,1499.50,1489.00,0.17K,0.15%
"Apr 18, 2011",1492.30,1486.30,1497.30,1477.50,0.65K,0.47%
"Apr 15, 2011",1485.30,1477.60,1487.50,1473.20,0.29K,0.92%
"Apr 14, 2011",1471.70,1456.80,1476.00,1452.70,0.54K,1.15%
"Apr 13, 2011",1454.90,1455.00,1462.00,1454.00,0.20K,0.14%
"Apr 12, 2011",1452.90,1461.80,1467.20,1444.40,0.35K,-0.99%
"Apr 11, 2011",1467.40,1476.00,1476.00,1459.70,0.38K,-0.41%
"Apr 08, 2011",1473.40,1457.60,1475.50,1457.50,1.41K,1.02%
"Apr 07, 2011",1458.50,1459.70,1462.70,1453.90,0.23K,0.05%
"Apr 06, 2011",1457.70,1456.90,1462.30,1452.00,0.90K,0.41%
"Apr 05, 2011",1451.80,1437.90,1457.60,1430.30,2.61K,1.37%
"Apr 04, 2011",1432.20,1429.10,1439.10,1428.80,0.68K,0.29%
"Apr 01, 2011",1428.10,1433.40,1436.50,1413.00,5.32K,-0.75%
"Mar 31, 2011",1438.90,1423.30,1440.00,1420.70,8.23K,1.06%
"Mar 30, 2011",1423.80,1418.70,1430.30,1412.00,47.01K,0.55%
"Mar 29, 2011",1416.00,1416.00,1416.00,1416.00,-,-0.27%
"Mar 28, 2011",1419.80,1413.20,1415.60,1413.20,0.01K,-0.44%
"Mar 25, 2011",1426.10,1436.00,1436.00,1436.00,0.00K,-0.61%
"Mar 24, 2011",1434.80,1437.70,1446.90,1437.50,0.03K,-0.22%
"Mar 23, 2011",1437.90,1432.20,1439.70,1432.20,0.02K,0.73%
"Mar 22, 2011",1427.50,1430.40,1430.40,1430.40,0.09K,0.09%
"Mar 21, 2011",1426.20,1433.50,1433.50,1430.80,0.04K,0.73%
"Mar 18, 2011",1415.90,1406.40,1419.30,1406.40,0.01K,0.85%
"Mar 17, 2011",1404.00,1387.70,1393.60,1387.70,0.03K,0.57%
"Mar 16, 2011",1396.00,1398.00,1404.20,1394.30,0.04K,0.24%
"Mar 15, 2011",1392.60,1413.30,1413.30,1385.50,0.02K,-2.25%
"Mar 14, 2011",1424.60,1420.00,1427.70,1420.00,0.06K,0.22%
"Mar 11, 2011",1421.50,1413.70,1422.60,1404.90,0.02K,0.66%
"Mar 10, 2011",1412.20,1429.50,1429.80,1403.80,0.02K,-1.20%
"Mar 09, 2011",1429.30,1430.00,1435.70,1426.10,0.10K,0.17%
"Mar 08, 2011",1426.90,1431.60,1432.60,1424.30,0.20K,-0.50%
"Mar 07, 2011",1434.10,1434.50,1445.00,1429.50,0.61K,0.41%
"Mar 04, 2011",1428.20,1418.90,1429.80,1416.80,0.06K,0.86%
"Mar 03, 2011",1416.00,1432.30,1432.30,1415.90,0.24K,-1.48%
"Mar 02, 2011",1437.20,1432.50,1440.50,1428.80,1.60K,0.45%
"Mar 01, 2011",1430.70,1415.30,1434.40,1415.30,0.12K,1.52%
"Feb 28, 2011",1409.30,1410.70,1415.70,1407.70,0.21K,0.04%
"Feb 25, 2011",1408.70,1401.70,1411.00,1401.00,0.35K,-0.47%
"Feb 24, 2011",1415.30,1415.10,1415.30,1408.30,0.07K,0.13%
"Feb 23, 2011",1413.40,1397.80,1413.80,1397.80,0.32K,0.92%
"Feb 22, 2011",1400.50,1395.10,1408.70,1395.10,0.43K,0.89%
"Feb 18, 2011",1388.20,1384.10,1391.80,1381.80,0.10K,0.25%
"Feb 17, 2011",1384.70,1377.70,1384.70,1377.00,0.11K,0.73%
"Feb 16, 2011",1374.70,1373.60,1382.00,1370.50,0.16K,0.08%
"Feb 15, 2011",1373.60,1361.60,1376.00,1361.60,0.32K,0.66%
"Feb 14, 2011",1364.60,1357.80,1365.60,1356.60,0.18K,0.35%
"Feb 11, 2011",1359.90,1364.00,1368.80,1355.20,0.49K,-0.15%
"Feb 10, 2011",1361.90,1364.30,1364.50,1351.70,0.31K,-0.21%
"Feb 09, 2011",1364.80,1362.80,1366.50,1359.60,0.15K,0.10%
"Feb 08, 2011",1363.40,1351.20,1367.00,1350.00,2.54K,1.17%
"Feb 07, 2011",1347.60,1345.80,1353.80,1343.80,1.00K,-0.05%
"Feb 04, 2011",1348.30,1354.80,1360.00,1345.00,0.59K,-0.30%
"Feb 03, 2011",1352.30,1335.60,1355.80,1324.90,1.87K,1.56%
"Feb 02, 2011",1331.50,1344.00,1344.00,1327.00,1.36K,-0.60%
"Feb 01, 2011",1339.60,1333.10,1342.90,1325.30,3.18K,0.43%
"Jan 31, 2011",1333.80,1339.00,1345.90,1323.30,13.66K,-0.51%
"Jan 28, 2011",1340.70,1314.00,1346.60,1307.70,73.02K,1.69%
"Jan 27, 2011",1318.40,1342.00,1342.00,1318.40,0.02K,-1.10%
"Jan 26, 2011",1333.00,1339.80,1341.70,1339.80,0.00K,0.05%
"Jan 25, 2011",1332.30,1330.40,1331.50,1323.60,0.39K,-0.91%
"Jan 24, 2011",1344.50,1352.30,1352.30,1341.80,0.00K,0.26%
"Jan 21, 2011",1341.00,1341.70,1345.60,1338.60,0.02K,-0.41%
"Jan 20, 2011",1346.50,1367.70,1367.70,1345.00,0.01K,-1.73%
"Jan 19, 2011",1370.20,1371.90,1376.20,1367.00,0.04K,0.15%
"Jan 18, 2011",1368.10,1365.10,1371.00,1359.20,0.11K,0.57%
"Jan 14, 2011",1360.40,1375.00,1376.00,1356.70,0.25K,-1.91%
"Jan 13, 2011",1386.90,1386.10,1392.50,1371.40,0.07K,0.09%
"Jan 12, 2011",1385.70,1382.60,1385.50,1378.00,0.20K,0.12%
"Jan 11, 2011",1384.00,1375.40,1384.50,1373.90,0.01K,0.75%
"Jan 10, 2011",1373.70,1369.00,1374.00,1365.70,0.18K,0.38%
"Jan 07, 2011",1368.50,1372.70,1377.20,1355.50,0.23K,-0.21%
"Jan 06, 2011",1371.40,1374.80,1376.50,1368.90,0.16K,-0.15%
"Jan 05, 2011",1373.40,1383.40,1384.00,1364.20,0.18K,-0.37%
"Jan 04, 2011",1378.50,1409.60,1410.90,1375.80,0.12K,-3.10%
"Jan 03, 2011",1422.60,1415.60,1423.90,1413.70,0.03K,0.11%
"Dec 31, 2010",1421.10,1405.70,1420.70,1405.70,0.05K,1.10%
"Dec 30, 2010",1405.60,1413.80,1413.80,1403.10,0.19K,-0.53%
"Dec 29, 2010",1413.10,1403.40,1412.20,1402.90,0.04K,0.56%
"Dec 28, 2010",1405.20,1389.80,1406.70,1389.80,0.52K,1.65%
"Dec 27, 2010",1382.40,1373.50,1384.20,1373.50,0.32K,0.17%
"Dec 23, 2010",1380.00,1388.40,1388.40,1373.70,0.10K,-0.49%
"Dec 22, 2010",1386.80,1388.00,1389.50,1385.00,0.06K,-0.10%
"Dec 21, 2010",1388.20,1385.80,1390.00,1381.50,0.11K,0.19%
"Dec 20, 2010",1385.50,1379.50,1386.70,1376.50,0.13K,0.50%
"Dec 17, 2010",1378.60,1376.40,1377.50,1365.90,0.10K,0.60%
"Dec 16, 2010",1370.40,1380.90,1385.00,1362.50,0.23K,-1.09%
"Dec 15, 2010",1385.50,1394.00,1394.00,1379.50,0.22K,-1.29%
"Dec 14, 2010",1403.60,1401.90,1407.60,1391.80,0.43K,0.45%
"Dec 13, 2010",1397.30,1384.50,1399.20,1383.60,0.19K,0.94%
"Dec 10, 2010",1384.30,1388.90,1392.00,1373.10,0.46K,-0.56%
"Dec 09, 2010",1392.10,1380.60,1394.20,1380.50,0.97K,0.69%
"Dec 08, 2010",1382.50,1402.50,1403.80,1372.00,1.68K,-1.83%
"Dec 07, 2010",1408.30,1424.50,1431.10,1398.00,0.87K,-0.49%
"Dec 06, 2010",1415.30,1414.00,1428.40,1410.00,0.83K,0.70%
"Dec 03, 2010",1405.40,1385.10,1415.10,1385.10,2.34K,1.22%
"Dec 02, 2010",1388.50,1387.60,1398.60,1383.30,1.55K,0.09%
"Dec 01, 2010",1387.30,1386.80,1396.60,1382.30,4.76K,0.17%
"Nov 30, 2010",1385.00,1366.70,1390.10,1362.80,11.37K,1.39%
"Nov 29, 2010",1366.00,1364.00,1369.30,1352.60,94.49K,0.27%
"Nov 26, 2010",1362.30,1372.10,1372.10,1372.10,0.00K,-0.77%
"Nov 24, 2010",1372.90,1377.80,1377.80,1377.80,0.00K,-0.33%
"Nov 23, 2010",1377.50,1369.40,1376.40,1364.50,0.02K,1.46%
"Nov 22, 2010",1357.70,1357.70,1357.70,1357.70,-,0.41%
"Nov 19, 2010",1352.20,1350.70,1352.00,1344.50,0.01K,-0.05%
"Nov 18, 2010",1352.90,1349.50,1353.20,1347.70,0.02K,1.20%
"Nov 17, 2010",1336.80,1336.90,1341.80,1331.30,0.05K,-0.11%
"Nov 16, 2010",1338.30,1356.50,1358.20,1329.50,0.07K,-2.20%
"Nov 15, 2010",1368.40,1363.70,1372.60,1355.30,0.05K,0.22%
"Nov 12, 2010",1365.40,1407.90,1407.90,1360.10,0.18K,-2.69%
"Nov 11, 2010",1403.10,1400.70,1413.50,1397.30,0.03K,0.29%
"Nov 10, 2010",1399.10,1395.20,1408.10,1384.00,0.03K,-0.76%
"Nov 09, 2010",1409.80,1405.20,1423.20,1382.90,0.08K,0.50%
"Nov 08, 2010",1402.80,1390.50,1409.20,1387.10,0.11K,0.39%
"Nov 05, 2010",1397.30,1390.70,1398.00,1378.20,0.11K,1.06%
"Nov 04, 2010",1382.70,1368.60,1392.50,1368.60,0.11K,3.41%
"Nov 03, 2010",1337.10,1351.40,1359.20,1327.50,0.14K,-1.42%
"Nov 02, 2010",1356.40,1356.80,1356.80,1355.50,0.02K,0.46%
"Nov 01, 2010",1350.20,1360.30,1360.30,1350.70,0.04K,-0.51%
"Oct 29, 2010",1357.10,1340.20,1358.70,1336.80,0.07K,1.12%
"Oct 28, 2010",1342.10,1327.90,1343.60,1325.90,0.19K,1.51%
"Oct 27, 2010",1322.20,1341.00,1341.80,1321.10,0.09K,-1.18%
"Oct 26, 2010",1338.00,1341.20,1341.20,1328.30,0.20K,-0.02%
"Oct 25, 2010",1338.30,1333.60,1349.10,1333.10,0.19K,1.05%
"Oct 22, 2010",1324.40,1326.70,1328.10,1319.00,0.11K,-0.02%
"Oct 21, 2010",1324.70,1344.20,1346.20,1317.50,0.10K,-1.38%
"Oct 20, 2010",1343.30,1336.00,1345.80,1334.20,0.15K,0.61%
"Oct 19, 2010",1335.10,1366.80,1370.50,1328.50,0.30K,-2.63%
"Oct 18, 2010",1371.20,1358.00,1372.60,1358.00,0.05K,0.01%
"Oct 15, 2010",1371.10,1379.20,1382.40,1364.70,0.17K,-0.41%
"Oct 14, 2010",1376.70,1372.80,1383.90,1371.30,0.11K,0.53%
"Oct 13, 2010",1369.50,1356.40,1374.00,1355.10,0.25K,1.77%
"Oct 12, 2010",1345.70,1346.90,1352.20,1343.60,0.11K,-0.56%
"Oct 11, 2010",1353.30,1346.70,1353.70,1344.00,0.08K,0.68%
"Oct 08, 2010",1344.20,1333.50,1348.40,1325.00,0.08K,0.77%
"Oct 07, 2010",1333.90,1347.90,1363.20,1325.70,0.26K,-0.93%
"Oct 06, 2010",1346.40,1339.10,1349.00,1339.00,0.22K,0.56%
"Oct 05, 2010",1338.90,1312.90,1341.10,1312.90,0.20K,1.79%
"Oct 04, 2010",1315.40,1318.30,1319.10,1312.00,0.10K,-0.05%
"Oct 01, 2010",1316.10,1309.00,1320.00,1309.00,0.15K,0.63%
"Sep 30, 2010",1307.80,1307.20,1315.20,1295.70,0.58K,-0.05%
"Sep 29, 2010",1308.50,1309.40,1312.50,1305.00,6.75K,0.15%
"Sep 28, 2010",1306.60,1287.50,1308.60,1287.50,0.08K,0.76%
"Sep 27, 2010",1296.70,1297.80,1297.90,1296.30,0.07K,0.05%
"Sep 24, 2010",1296.00,1296.80,1297.40,1294.20,0.04K,0.13%
"Sep 23, 2010",1294.30,1289.40,1294.20,1289.40,0.05K,0.32%
"Sep 22, 2010",1290.20,1293.50,1294.50,1288.50,0.02K,1.40%
"Sep 21, 2010",1272.40,1278.20,1289.80,1271.80,0.06K,-0.52%
"Sep 20, 2010",1279.00,1281.70,1282.00,1279.30,0.03K,0.27%
"Sep 17, 2010",1275.60,1275.80,1279.60,1273.80,0.05K,0.29%
"Sep 16, 2010",1271.90,1268.70,1275.20,1266.60,0.04K,0.41%
"Sep 15, 2010",1266.70,1268.40,1269.80,1263.50,0.03K,-0.24%
"Sep 14, 2010",1269.70,1253.80,1272.40,1253.40,0.09K,1.98%
"Sep 13, 2010",1245.10,1242.60,1247.00,1242.60,0.02K,0.05%
"Sep 10, 2010",1244.50,1239.00,1249.60,1239.00,0.02K,-0.35%
"Sep 09, 2010",1248.90,1253.90,1256.40,1244.10,0.01K,-0.53%
"Sep 08, 2010",1255.60,1260.20,1260.20,1254.70,0.03K,-0.14%
"Sep 07, 2010",1257.30,1256.10,1258.00,1248.90,0.01K,0.65%
"Sep 03, 2010",1249.20,1240.00,1247.40,1240.00,0.00K,-0.18%
"Sep 02, 2010",1251.50,1247.10,1252.50,1246.90,0.10K,0.42%
"Sep 01, 2010",1246.30,1252.30,1254.30,1243.60,0.04K,-0.16%
"Aug 31, 2010",1248.30,1237.10,1249.40,1233.00,0.12K,0.91%
"Aug 30, 2010",1237.10,1237.10,1237.90,1234.00,0.13K,0.09%
"Aug 27, 2010",1236.00,1235.70,1241.90,1234.80,0.03K,0.05%
"Aug 26, 2010",1235.40,1240.90,1243.30,1235.00,0.10K,-0.33%
"Aug 25, 2010",1239.50,1230.70,1240.70,1230.70,0.30K,0.63%
"Aug 24, 2010",1231.80,1223.00,1234.00,1211.50,0.30K,0.40%
"Aug 23, 2010",1226.90,1228.90,1228.90,1222.90,0.06K,-0.02%
"Aug 20, 2010",1227.20,1232.50,1232.80,1223.00,0.24K,-0.53%
"Aug 19, 2010",1233.80,1229.60,1237.60,1228.80,0.05K,0.33%
"Aug 18, 2010",1229.70,1226.00,1231.60,1218.00,0.17K,0.25%
"Aug 17, 2010",1226.60,1227.40,1227.40,1224.00,0.08K,0.17%
"Aug 16, 2010",1224.50,1218.00,1225.40,1218.00,0.25K,0.79%
"Aug 13, 2010",1214.90,1212.80,1216.00,1212.50,0.14K,0.01%
"Aug 12, 2010",1214.80,1200.50,1215.50,1199.00,0.29K,1.44%
